ultralytics/yolov5,ultralytics/yolov5.1,"['yolov3', 'yolov4', 'yolov5', 'object-detection', 'pytorch', 'onnx', 'coreml', 'ios', 'tflite', 'yolo', 'deep-learning', 'machine-learning', 'ml']",YOLOv5 🚀 in PyTorch > ONNX > CoreML > TFLite
tensorflow/similarity,tensorflow/similarity,"['similarity-learning', 'metric-learning', 'similarity-search', 'nearest-neighbor-search', 'nearest-neighbors', 'deep-learning', 'tensorflow', 'contrastive-learning', 'machine-learning', 'unsupervised-learning', 'clustering', 'python', 'simclr', 'simclr2', 'barlow-twins', 'simsiam', 'cosine-similarity', 'knn']",TensorFlow Similarity is a python package focused on making similarity learning quick and easy.
turtlesoupy/this-word-does-not-exist,turtlesoupy/this-word-does-not-exist,"['machine-learning', 'gpt-2', 'transformers', 'natural-language-processing', 'natural-language-understanding', 'natural-language-generation']",This Word Does Not Exist
open-mmlab/mmrotate,open-mmlab/mmrotate,"['rotated-object', 'pytorch', 'openmmlab', 'detection']",OpenMMLab Rotated Object Detection Toolbox and Benchmark
920232796/bert_seq2seq,920232796/bert_seq2seq,"['bert', 'seq2seq', 'ner', 'crf', 'text-classification', 'unilm', 'pytorch', 'roberta', 'autotitle', 'gpt2', 't5-model']","pytorch实现 Bert 做seq2seq任务，使用unilm方案,现在也可以做自动摘要，文本分类，情感分析，NER，词性标注等任务,支持t5模型，支持GPT2进行文章续写。"
zalandoresearch/pytorch-ts,zalandoresearch/pytorch-ts,"['pytorch', 'time-series', 'probabilistic', 'deepar', 'lstnet', 'n-beats']",PyTorch based Probabilistic Time Series forecasting framework based on GluonTS backend
google/nerfies,google/nerfies,"['neural-rendering', 'nerf', '3d', 'neural-network', 'machine-learning']","This is the code for Deformable Neural Radiance Fields, a.k.a. Nerfies."
lucidrains/perceiver-pytorch,lucidrains/perceiver-pytorch,"['artificial-intelligence', 'deep-learning', 'attention-mechanism']","Implementation of Perceiver, General Perception with Iterative Attention, in Pytorch"
pytorchlightning/metrics,Lightning-AI/metrics,"['python', 'data-science', 'machine-learning', 'pytorch', 'deep-learning', 'metrics', 'analyses']","Machine learning metrics for distributed, scalable PyTorch applications."
thumnlab/autogl,THUMNLab/AutoGL,"['graph-neural-networks', 'automl', 'pytorch', 'pytorch-geometric', 'hyper-parameter-optimization', 'machine-learning', 'deep-learning', 'neural-architecture-search']",An autoML framework & toolkit for machine learning on graphs.
google-research/tapas,google-research/tapas,"['nlp-machine-learning', 'question-answering', 'table-parsing', 'tensorflow']",End-to-end neural table-text understanding models.
google/budoux,google/budoux,"['nlp', 'machine-learning', 'python', 'javascript']",
honglinchu/siamtrackers,HonglinChu/SiamTrackers,"['tracking', 'deep-learning', 'visual-tracking']","(2020-2022)The PyTorch version  of SiamFC，SiamRPN，DaSiamRPN, UpdateNet , SiamDW, SiamRPN++, SiamMask, SiamFC++,  SiamCAR,  SiamBAN, Ocean, LightTrack , TrTr, NanoTrack;  Visual object tracking based on deep learning"
rucaibox/textbox,RUCAIBox/TextBox,"['text-generation', 'natural-language-processing', 'deep-learning', 'pretrained-models', 'python', 'pytorch', 'seq2seq', 'natural-language-generation']",TextBox 2.0 is a text generation library with pre-trained language models
huawei-noah/addernet,huawei-noah/AdderNet,"['pytorch', 'imagenet', 'convolutional-neural-networks', 'cvpr2020', 'efficient-inference']","Code for paper "" AdderNet: Do We Really Need Multiplications in Deep Learning?"""
blinkdl/rwkv-lm,BlinkDL/RWKV-LM,"['attention-mechanism', 'deep-learning', 'gpt', 'gpt-2', 'gpt-3', 'language-model', 'linear-attention', 'lstm', 'pytorch', 'rnn', 'transformer', 'transformers', 'rwkv']","RWKV is a RNN with transformer-level LLM performance. It can be directly trained like a GPT (parallelizable). So it's combining the best of RNN and transformer - great performance, fast inference, saves VRAM, fast training, ""infinite"" ctx_len, and free sentence embedding."
julrog/nn_vis,julrog/nn_vis,"['neural-networks', 'visualization', 'rendering-engine', 'opengl', 'neural-network', 'virtual-reality', 'vr']",A project for processing neural networks and rendering to gain insights on the architecture and parameters of a model through a decluttered representation.
yuval-alaluf/hyperstyle,yuval-alaluf/hyperstyle,"['generative-adversarial-network', 'stylegan', 'stylegan-encoder', 'hypernetworks', 'cvpr2022']","Official Implementation for ""HyperStyle: StyleGAN Inversion with HyperNetworks for Real Image Editing"" (CVPR 2022) https://arxiv.org/abs/2111.15666"
norskregnesentral/skweak,NorskRegnesentral/skweak,"['weak-supervision', 'nlp-machine-learning', 'distant-supervision', 'nlp-library', 'spacy', 'python', 'data-science', 'training-data', 'natural-language-processing']",skweak: A software toolkit for weak supervision applied to NLP tasks
mit-han-lab/data-efficient-gans,mit-han-lab/data-efficient-gans,"['gans', 'pytorch', 'tensorflow', 'data-efficient', 'generative-adversarial-network', 'image-generation', 'neurips-2020']",[NeurIPS 2020] Differentiable Augmentation for Data-Efficient GAN Training
jina-ai/docarray,docarray/docarray,"['docarray', 'data-structures', 'multimodal', 'cross-modal', 'neural-search', 'unstructured-data', 'deep-learning', 'nested-data', 'qdrant', 'weaviate', 'sqlite', 'nearest-neighbor-search', 'protobuf', 'graphql', 'elasticsearch', 'dataclass', 'multi-modal', 'semantic-search', 'vector-search']",🧬 The data structure for multimodal data · Neural Search · Vector Search · Document Store
hkchengrex/xmem,hkchengrex/XMem,"['computer-vision', 'deep-learning', 'eccv-2022', 'eccv2022', 'pytorch', 'segmentation', 'video-object-segmentation', 'video-segmentation']",[ECCV 2022] XMem: Long-Term Video Object Segmentation with an Atkinson-Shiffrin Memory Model
ayoolaolafenwa/pixellib,ayoolaolafenwa/PixelLib,"['computer-vision', 'machine-learning', 'artificial-intelligence', 'image-segmentation', 'semantic-segmentation', 'instance-segmentation', 'video-segmentation', 'deeplab', 'deeplearning', 'maskr-cnn', 'tensorflow', 'deep-learning', 'pointrend', 'pytorch', 'convolutional-neural-networks', 'segmentation', 'object-detection']",Visit PixelLib's official documentation  https://pixellib.readthedocs.io/en/latest/
dengbocong/nlp-paper,DengBoCong/nlp-paper,"['dialogue', 'speech', 'nlp-machine-learning', 'paper', 'tensorflow2', 'pytorch', 'nlp', 'bert']",自然语言处理领域下的相关论文（附阅读笔记），复现模型以及数据处理等（代码含TensorFlow和PyTorch两版本）
takuseno/d3rlpy,takuseno/d3rlpy,"['deep-reinforcement-learning', 'deep-learning', 'pytorch', 'offline-rl']",An offline deep reinforcement learning library
neuml/paperai,neuml/paperai,"['python', 'machine-learning', 'nlp', 'medical', 'search', 'scientific-papers', 'document-search', 'txtai']",📄 🤖 Semantic search and workflows for medical/scientific papers
kakaobrain/kogpt,kakaobrain/kogpt,"['deeplearning', 'gpt', 'nlp', 'transformers', 'huggingface', 'kogpt', 'kakaobrain', 'korean', 'generative-model', 'gpt3']",KakaoBrain KoGPT (Korean Generative Pre-trained Transformer)
cvg/nice-slam,cvg/nice-slam,"['slam', 'neural-fields', 'neural-implicit-representations', 'scalable', 'implicit-functions', 'localization', 'deep-learning', '3d-reconstruction']",[CVPR'22] NICE-SLAM: Neural Implicit Scalable Encoding for SLAM
chonyy/ai-basketball-analysis,chonyy/AI-basketball-analysis,"['basketball', 'machine-learning', 'tensorflow', 'api', 'computer-vision', 'object-detection', 'artificial-intelligence', 'openpose', 'deep-learning', 'pose-estimation', 'yolo', 'yolov4']",:basketball::robot::basketball: AI web app and API to analyze basketball shots and shooting pose.
pkhungurn/talking-head-anime-2-demo,pkhungurn/talking-head-anime-2-demo,"['ai', 'anime', 'computer-graphics', 'computer-vision', 'deep-learning', 'machine-learning', 'python', 'pytorch', 'vtuber']",Demo programs for the Talking Head Anime from a Single Image 2: More Expressive project.
baguasys/bagua,BaguaSys/bagua,"['distributed', 'pytorch', 'rust-lang', 'deep-learning', 'distributed-systems', 'distributed-computing', 'machine-learning', 'bagua']",Bagua Speeds up PyTorch
guyulongcs/awesome-deep-learning-papers-for-search-recommendation-advertising,guyulongcs/Awesome-Deep-Learning-Papers-for-Search-Recommendation-Advertising,"['deep-learning', 'recommender-system', 'search', 'advertising', 'ctr', 'cvr', 'reinforcement-learning', 'search-engine']","Awesome Deep Learning papers for industrial Search, Recommendation and Advertising. They focus on Embedding, Matching, Ranking (CTR and CVR prediction), Post Ranking, Multi-task Learning, Graph Neural Networks, Transfer Learning, Reinforcement Learning, Self-supervised Learning and so on."
airctic/icevision,airctic/icevision,"['object-detection', 'deep-learning', 'pytorch', 'pytorch-lightning', 'python', 'fastai', 'ai', 'computer-vision', 'effecientdet', 'faster-rcnn', 'mask-rcnn', 'annotation-parsers', 'tutorials', 'coco-parser', 'voc-parser', 'pycocotools', 'coco-dataset', 'voc-dataset']","An Agnostic Computer Vision Framework - Pluggable to any Training Library: Fastai, Pytorch-Lightning with more to come"
vhellendoorn/code-lms,VHellendoorn/Code-LMs,"['gpt-2', 'deep-learning', 'source-code']",Guide to using pre-trained large language models of source code
geekalexis/fastmot,GeekAlexis/FastMOT,"['jetson', 'multi-object-tracking', 'tensorrt', 'real-time', 'reid', 'object-detection', 'deep-sort', 'computer-vision', 'yolov4', 'ssd', 'yolov3', 'people-counter', 'scaledyolov4', 'edge-computing', 'lucas-kanade', 'video-analysis', 'deep-learning']","High-performance multiple object tracking based on YOLO, Deep SORT, and KLT 🚀"
pytorchlightning/pytorch-lightning-bolts,Lightning-AI/lightning-bolts,"['pytorch', 'ai', 'machine-learning', 'image-processing', 'natural-language-processing', 'supervised-learning', 'gan']","Toolbox of models, callbacks, and datasets for AI/ML researchers."
google-research/torchsde,google-research/torchsde,"['deep-learning', 'deep-neural-networks', 'pytorch', 'dynamical-systems', 'differential-equations', 'stochastic-processes', 'stochastic-differential-equations', 'stochastic-volatility-models', 'neural-differential-equations']",Differentiable SDE solvers with GPU support and efficient sensitivity analysis. 
lucidrains/performer-pytorch,lucidrains/performer-pytorch,"['artificial-intelligence', 'deep-learning', 'attention-mechanism', 'attention', 'transformers']","An implementation of Performer, a linear attention-based transformer, in Pytorch"
salesforce/lavis,salesforce/LAVIS,"['deep-learning', 'deep-learning-library', 'image-captioning', 'salesforce', 'vision-and-language', 'vision-framework', 'vision-language-pretraining', 'vision-language-transformer', 'visual-question-anwsering', 'multimodal-datasets', 'multimodal-deep-learning']",LAVIS - A One-stop Library for Language-Vision Intelligence
manujosephv/pytorch_tabular,manujosephv/pytorch_tabular,"['tabular-data', 'deep-learning', 'pytorch', 'pytorch-lightning', 'hacktoberfest', 'machine-learning']",A standard framework for modelling Deep Learning Models for tabular data
enpeizhao/cvprojects,enpeizhao/CVprojects,"['computer-vision', 'machine-learning', 'deep-learning', 'python']",computer vision projects |  计算机视觉相关好玩的AI项目
obsei/obsei,obsei/obsei,"['artificial-intelligence', 'natural-language-processing', 'sentiment-analysis', 'workflow', 'social-network-analysis', 'customer-engagement', 'text-analysis', 'text-analytics', 'python', 'nlp', 'issue-tracking-system', 'customer-support', 'lowcode', 'text-classification', 'anonymization', 'low-code', 'business-process-automation', 'workflow-automation', 'process-automation', 'social-listening']","Obsei is a low code AI powered automation tool. It can be used in various business flows like social listening, AI based alerting, brand image analysis, comparative study and more ."
median-research-group/libmtl,median-research-group/LibMTL,"['multitask-learning', 'multi-task-learning', 'pytorch', 'python', 'multi-domain-learning', 'deep-learning', 'mtl', 'mmoe', 'ple', 'multiobjective-optimization', 'multi-objective-optimization']",A PyTorch Library for Multi-Task Learning
pygod-team/pygod,pygod-team/pygod,"['outlier-detection', 'anomaly-detection', 'graph-anomaly-detection', 'machine-learning', 'security-tools', 'opensource', 'deeplearning', 'python', 'graphmining', 'pytorch', 'graph-neural-networks', 'fraud-detection', 'toolkit']",A Python Library for Graph Outlier Detection (Anomaly Detection)
nvidia-merlin/nvtabular,NVIDIA-Merlin/NVTabular,"['deep-learning', 'feature-engineering', 'feature-selection', 'gpu', 'machine-learning', 'nvidia', 'preprocessing', 'recommendation-system', 'recommender-system']",NVTabular is a feature engineering and preprocessing library for tabular data designed to quickly and easily manipulate terabyte scale datasets used to train deep learning based recommender systems.
roflcoopter/viseron,roflcoopter/viseron,"['nvr', 'network-video-capture', 'network-video-recorder', 'tensorflow', 'darknet', 'yolo', 'hardware-acceleration', 'object-detection', 'motion-detection', 'cuda', 'surveillance', 'rtsp', 'ip-camera', 'viseron', 'coral', 'edgetpu', 'google-coral', 'hacktoberfest']",Self-hosted NVR with object detection
nachifur/mulimgviewer,nachifur/MulimgViewer,"['image-stitching', 'deep-learning', 'viewer', 'picture-viewer', 'ubuntu', 'windows10', 'image-viewer', 'multiple-images', 'multiple-image-comparison', 'image-comparison', 'parallel', 'multiple-imageview', 'computer-vision', 'python3', 'opencas']","MulimgViewer is a multi-image viewer that can open multiple images in one interface, which is convenient for image comparison and image stitching."
swz30/restormer,swz30/Restormer,"['image-restoration', 'image-deraining', 'image-deblurring', 'defocus-deblurring', 'motion-deblurring', 'transformer', 'pytorch', 'low-level-vision', 'cvpr2022', 'high-resolution', 'efficient-transformers']","[CVPR 2022--Oral] Restormer: Efficient Transformer for High-Resolution Image Restoration. SOTA  for motion deblurring, image deraining, denoising (Gaussian/real data), and defocus deblurring. "
djdefrag/qualityscaler,Djdefrag/QualityScaler,"['python', 'amd', 'intel', 'nvidia', 'directx-12', 'windows', 'compression-artifact-reduction', 'deep-learning', 'gui-application', 'noise-reduction', 'opencv', 'python3', 'pytorch', 'super-resolution', 'pytorch-directml', 'anime', 'manga', 'video']",QualityScaler - image/video AI upscaler app (BSRGAN)
open-mmlab/mmrazor,open-mmlab/mmrazor,"['nas', 'pruning', 'knowledge-distillation', 'spos', 'darts', 'autoslim', 'detection', 'segmentation', 'classification', 'pytorch']",OpenMMLab Model Compression Toolbox and Benchmark.
kair-bair/nerfacc,KAIR-BAIR/nerfacc,"['instant-ngp', 'nerf', 'pytorch', 'rendering']",A General NeRF Acceleration Toolbox in PyTorch.
tjiiv-cprg/epro-pnp,tjiiv-cprg/EPro-PnP,"['pose-estimation', '6dof', '3d-object-detection', 'perspective-n-point', 'pytorch', 'cvpr', 'monocular', 'levenberg-marquardt', 'gauss-newton']","[CVPR 2022 Oral, Best Student Paper] EPro-PnP: Generalized End-to-End Probabilistic Perspective-n-Points for Monocular Object Pose Estimation"
benaandrew/voice-cloning-app,BenAAndrew/Voice-Cloning-App,"['python', 'tts', 'text-to-speech', 'pytorch', 'deep-learning', 'voice-cloning', 'tacotron2']",A Python/Pytorch app for easily synthesising human voices
pyretri/pyretri,PyRetri/PyRetri,"['deep-learning', 'image-retrieval', 'pytorch', 'toolbox']",Open source deep learning based unsupervised image retrieval toolbox built on PyTorch🔥
n00mkrad/flowframes,n00mkrad/flowframes,"['video-interpolation', 'pytorch', 'ncnn', 'dain', 'rife', 'gui']",Flowframes Windows GUI for video interpolation using DAIN (NCNN) or RIFE (CUDA/NCNN)
jingyunliang/vrt,JingyunLiang/VRT,"['transformer', 'video-restoration', 'low-level-vision', 'vision-transformer', 'video-super-resolution', 'video-deblurring', 'video-denoising', 'video-sr', 'super-resolution', 'sr', 'deblurring', 'denoising', 'video', 'restoration']",VRT: A Video Restoration Transformer (official repository)
beir-cellar/beir,beir-cellar/beir,"['nlp', 'information-retrieval', 'bert', 'benchmark', 'sentence-transformers', 'question-generation', 'retrieval', 'passage-retrieval', 'elasticsearch', 'dpr', 'sbert', 'retrieval-models', 'dataset', 'ance', 'colbert', 'zero-shot-retrieval', 'use-qa', 'deep-learning', 'pytorch']","A Heterogeneous Benchmark for Information Retrieval. Easy to use, evaluate your models across 15+ diverse IR datasets."
sjtuytc/largescalenerfpytorch,sjtuytc/LargeScaleNeRFPytorch,"['nerf', 'nerf-w', 'pytorch-implementation', 'block-nerf', 'city-nerf', 'custum-nerf', 'mega-nerf', 'view-synthesis', 'weekly-nerf', 'weekly', 'classified', 'pytorch-implementations', 'pytorch', 'pytorch-lightning', 'chinese-translation', 'deep-learning']",1. Non-official implementation of Block-NeRF and Mega-NeRF in Pytorch. 2. Train your large-scale NeRF in the wild. 3. Weekly classified NeRF literature.
patrick-kidger/diffrax,patrick-kidger/diffrax,"['differential-equations', 'jax', 'deep-learning', 'neural-differential-equations', 'machine-learning', 'dynamical-systems', 'neural-networks']",Numerical differential equation solvers in JAX. Autodifferentiable and GPU-capable. https://docs.kidger.site/diffrax/
tensorflow/gnn,tensorflow/gnn,"['tensorflow', 'gnn', 'deep-learning', 'machine-learning']",TensorFlow GNN is a library to build Graph Neural Networks on the TensorFlow platform.
alibaba/federatedscope,alibaba/FederatedScope,"['federated-learning', 'machine-learning', 'pytorch']",An easy-to-use federated learning platform
shi-labs/neighborhood-attention-transformer,SHI-Labs/Neighborhood-Attention-Transformer,"['neighborhood-attention', 'pytorch']",Official NAT (Neighborhood Attention Transformer) and DiNAT (Dilated Neighborhood Attention Transformer) repository.
thuml/autoformer,thuml/Autoformer,"['deep-learning', 'time-series']","About Code release for ""Autoformer: Decomposition Transformers with Auto-Correlation for Long-Term Series Forecasting"" (NeurIPS 2021), https://arxiv.org/abs/2106.13008"
separius/awesome-fast-attention,Separius/awesome-fast-attention,"['transformer', 'attention', 'awesome', 'reformer', 'longformer', 'linformer', 'multihead-attention', 'self-attention', 'attention-is-all-you-need', 'transformer-network']",list of efficient attention modules
ydataai/ydata-synthetic,ydataai/ydata-synthetic,"['gan-architectures', 'gan', 'deep-learning', 'synthetic-data', 'tensorflow2', 'machine-learning', 'training-data', 'python3', 'datagenerator', 'datageneration', 'timeseries', 'generative-adversarial-network', 'gans', 'pytorch', 'time-series']",Synthetic structured data generators
grammarly/gector,grammarly/gector,"['grammatical-error-correction', 'natural-language-processing', 'sequence-labeling', 'transformers', 'roberta', 'bert', 'xlnet', 'nlp', 'text-simplification']","Official implementation of the papers ""GECToR – Grammatical Error Correction: Tag, Not Rewrite"" (BEA-20) and ""Text Simplification by Tagging"" (BEA-21)"
natspeech/natspeech,NATSpeech/NATSpeech,"['speech-synthesis', 'pytorch', 'tts', 'speech', 'huggingface', 'portaspeech', 'diffsinger', 'diffspeech']","A Non-Autoregressive Text-to-Speech (NAR-TTS) framework, including official PyTorch implementation of PortaSpeech (NeurIPS 2021) and DiffSpeech (AAAI 2022)"
yinboc/liif,yinboc/liif,"['machine-learning', 'super-resolution', 'pytorch', 'implicit-neural-representation']","Learning Continuous Image Representation with Local Implicit Image Function, in CVPR 2021 (Oral)"
facebookresearch/timesformer,facebookresearch/TimeSformer,[],"The official pytorch implementation of our paper ""Is Space-Time Attention All You Need for Video Understanding?"""
calciferzh/minimal-hand,CalciferZh/minimal-hand,"['computer-vision', 'deep-learning', '3d-hand-pose-estimation', 'hand-tracking', 'hand-motion-capture']","A minimal solution to hand motion capture from a single color camera at over 100fps. Easy to use, plug to run."
chandrikadeb7/face-mask-detection,chandrikadeb7/Face-Mask-Detection,"['python', 'python-3', 'python3', 'keras', 'keras-tensorflow', 'deep-learning', 'computer-vision', 'face-mask-detection', 'covid-19', 'ssd-mobilenet', 'mobilenetv2', 'bing-search', 'mask-detection', 'facemaskdetect', 'facemask-detection', 'mask-detection-system', 'face-mask', 'machine-learning', 'caffe', 'hacktoberfest']",Face Mask Detection system based on computer vision and deep learning using OpenCV and Tensorflow/Keras
mit-han-lab/anycost-gan,mit-han-lab/anycost-gan,"['computer-vision', 'deep-learning', 'computer-graphics', 'generative-adversarial-network', 'gan', 'image-generation', 'image-manipulation', 'image-editing', 'gans', 'pytorch', 'stylegan2']",[CVPR 2021] Anycost GANs for Interactive Image Synthesis and Editing
karpathy/arxiv-sanity-lite,karpathy/arxiv-sanity-lite,"['arxiv', 'deep-learning', 'machine-learning', 'flask']",arxiv-sanity lite: tag arxiv papers of interest get recommendations of similar papers in a nice UI using SVMs over tfidf feature vectors based on paper abstracts.
huggingface/autotrain-advanced,huggingface/autotrain-advanced,"['huggingface', 'deep-learning', 'machine-learning', 'natural-language-processing', 'natural-language-understanding', 'autotrain', 'python']",🤗 AutoTrain Advanced
open-mmlab/mmflow,open-mmlab/mmflow,"['optical-flow', 'openmmlab', 'pytorch']",OpenMMLab optical flow toolbox and benchmark
swz30/mprnet,swz30/MPRNet,"['image-deblurring', 'image-denoising', 'image-deraining', 'low-level-vision', 'computer-vision', 'image-restoration', 'multistage-network', 'progressive-restoration', 'pytorch', 'cvpr2021', 'cvpr21', 'cvpr-2021']","[CVPR 2021] Multi-Stage Progressive Image Restoration. SOTA results for Image deblurring, deraining, and denoising."
dvlab-research/largescalenerfpytorch,sjtuytc/LargeScaleNeRFPytorch,"['nerf', 'nerf-w', 'pytorch-implementation', 'block-nerf', 'city-nerf', 'custum-nerf', 'mega-nerf', 'view-synthesis', 'weekly-nerf', 'weekly', 'classified', 'pytorch-implementations', 'pytorch', 'pytorch-lightning', 'chinese-translation', 'deep-learning']",1. Non-official implementation of Block-NeRF and Mega-NeRF in Pytorch. 2. Train your large-scale NeRF in the wild. 3. Weekly classified NeRF literature.
ikergarcia1996/self-driving-car-in-video-games,ikergarcia1996/Self-Driving-Car-in-Video-Games,"['python', 'pytorch', 'self-driving-car', 'videogame', 'videogame-bot', 'neural-network', 'deep-learning', 'supervised-learning', 'machine-learning', 'autonomous-driving', 'deep-neural-network', 'video-games', 'pretrained-models']",A deep neural network that learns to drive in video games
kaiyangzhou/dassl.pytorch,KaiyangZhou/Dassl.pytorch,"['pytorch', 'benchmark-datasets', 'semi-supervised-learning', 'domain-adaptation', 'domain-generalization', 'deep-learning', 'machine-learning', 'computer-vision', 'artificial-intelligence', 'deep-neural-networks']","A PyTorch toolbox for domain generalization, domain adaptation and semi-supervised learning."
mukosame/zooming-slow-mo-cvpr-2020,Mukosame/Zooming-Slow-Mo-CVPR-2020,"['pytorch', 'video', 'super-resolution', 'video-frame-interpolation', 'video-super-resolution', 'spatio-temporal', 'cvpr2020', 'cvpr']",Fast and Accurate One-Stage Space-Time Video Super-Resolution (accepted in CVPR 2020)
csslab/maia-chess,CSSLab/maia-chess,"['chess', 'chess-engine', 'deep-learning', 'machine-learning', 'computational-social-science']",Maia is a human-like neural network chess engine trained on millions of human games.
interdigitalinc/compressai,InterDigitalInc/CompressAI,"['compression', 'deep-learning', 'python', 'pytorch', 'machine-learning', 'deep-neural-networks', 'neural-network']",A PyTorch library and evaluation platform for end-to-end compression research
huggingface/autonlp,huggingface/autotrain-advanced,"['huggingface', 'deep-learning', 'machine-learning', 'natural-language-processing', 'natural-language-understanding', 'autotrain', 'python']",🤗 AutoTrain Advanced
thudm/cogview2,THUDM/CogView2,"['transformer', 'pytorch', 'pretrained-models', 'text-to-image']","official code repo for paper ""CogView2: Faster and Better Text-to-Image Generation via Hierarchical Transformers"""
nnaisense/evotorch,nnaisense/evotorch,"['artificial-intelligence', 'evolutionary-computation', 'neural-networks', 'optimization-algorithms', 'distributed', 'gpu', 'python', 'pytorch', 'optimization', 'reinforcement-learning', 'evolutionary-algorithms']","Advanced evolutionary computation library built directly on top of PyTorch, created at NNAISENSE."
youngwanlee/centermask2,youngwanLEE/centermask2,"['centermask', 'detectron2', 'object-detection', 'instance-segmentation', 'anchor-free', 'vovnet', 'vovnetv2', 'real-time', 'pytorch', 'cvpr2020']","CenterMask : Real-time Anchor-Free Instance Segmentation, in CVPR 2020"
huggingface/optimum,huggingface/optimum,"['onnx', 'pytorch', 'inference', 'training', 'intel', 'graphcore', 'onnxruntime', 'transformers', 'quantization', 'habana', 'optimization']",🏎️ Accelerate training and inference of 🤗 Transformers with easy to use hardware optimization tools
mcg-nju/videomae,MCG-NJU/VideoMAE,"['self-supervised-learning', 'action-recognition', 'video-understanding', 'masked-autoencoder', 'transformer', 'vision-transformer', 'video-transformer', 'mae', 'pytorch', 'video-representation-learning', 'video-analysis', 'neurips-2022']",[NeurIPS 2022 Spotlight] VideoMAE: Masked Autoencoders are Data-Efficient Learners for Self-Supervised Video Pre-Training
km1994/nlp-interview-notes,km1994/NLP-Interview-Notes,"['bert', 'transformer', 'nlp', 'ner', 'deel-learning']",该仓库主要记录 NLP 算法工程师相关的面试题
xiaomi/minlp,XiaoMi/MiNLP,"['nlp', 'tensorflow', 'python3']",XiaoMi Natural Language Processing Toolkits 
jasmcaus/caer,jasmcaus/caer,"['python', 'vision', 'artificial-intelligence', 'machine-learning', 'neural-network', 'deep-learning', 'gpu', 'ai', 'data-science', 'image-processing', 'video-processing', 'caer', 'augmentation', 'computer-vision', 'opencv', 'cuda', 'type-checking', 'segmentation', 'image-classification', 'image-segmentation']","High-performance Vision library in Python. Scale your research, not boilerplate. "
hazyresearch/state-spaces,HazyResearch/state-spaces,"['state-space-models', 'sequence-models', 'pytorch', 'time-series']",Sequence Modeling with Structured State Spaces
lucidrains/vector-quantize-pytorch,lucidrains/vector-quantize-pytorch,"['artificial-intelligence', 'deep-learning', 'pytorch', 'vector-quantization']","Vector Quantization, in Pytorch"
bayesiains/nflows,bayesiains/nflows,"['density-estimation', 'normalizing-flows', 'generative-model', 'pytorch']",Normalizing flows in PyTorch
iceychris/libreasr,iceychris/LibreASR,"['asr', 'speech-recognition', 'pytorch', 'fastai', 'rnn-transducer', 'deep-learning', 'esp32-lyrat', 'python']",":speech_balloon: An On-Premises, Streaming Speech Recognition System "
danijar/dreamerv2,danijar/dreamerv2,"['reinforcement-learning', 'world-models', 'artificial-intelligence', 'robotics', 'deep-learning', 'video-prediction', 'atari', 'research', 'machine-learning']",Mastering Atari with Discrete World Models
medmnist/medmnist,MedMNIST/MedMNIST,"['dataset', 'benchmark', 'automl', 'mnist', 'medical', 'medical-image-analysis', 'medmnist', 'multi-modal', 'decathlon', 'medical-imaging', 'medical-image-computing', 'deep-learning', 'machine-learning', '3d', '2d', 'classification', 'few-shot-learning', 'pytorch']",18 MNIST-like Datasets for 2D and 3D Biomedical Image Classification: pip install medmnist
wmcnally/kapao,wmcnally/kapao,"['pytorch', 'deep-learning', 'human-pose-estimation', 'yolo', 'pose-estimation']",KAPAO is an efficient single-stage human pose estimation model that detects keypoints and poses as objects and fuses the detections to predict human poses.
openppl-public/ppq,openppl-public/ppq,"['neural-network', 'deep-learning', 'quantization', 'pytorch', 'caffe', 'onnx', 'cuda', 'open-source']",PPL Quantization Tool (PPQ) is a powerful offline neural network quantization tool.
nvidia-merlin/transformers4rec,NVIDIA-Merlin/Transformers4Rec,"['transformer', 'pytorch', 'tabular-data', 'huggingface', 'bert', 'gtp', 'language-model', 'xlnet', 'nlp', 'seq2seq', 'recsys', 'recommender-system', 'session-based-recommendation']",Transformers4Rec is a flexible and efficient library for sequential and session-based recommendation and works with PyTorch.
tencent/patrickstar,Tencent/PatrickStar,"['nlp', 'pretrained-models', 'gpt', 'bert', 'pytorch']","PatrickStar enables Larger, Faster, Greener Pretrained Models for NLP and democratizes AI for everyone."
piesposito/blitz-bayesian-deep-learning,piEsposito/blitz-bayesian-deep-learning,"['pytorch', 'pytorch-implementation', 'pytorch-tutorial', 'bayesian-layers', 'bayesian-deep-learning', 'bayesian-neural-networks']",A simple and extensible library to create Bayesian Neural Network layers on PyTorch.
visual-layer/fastdup,visual-layer/fastdup,"['data-curation', 'dataset', 'deep-learning', 'image-duplicate-detection', 'machine-learning', 'novelty-detection', 'object-detection', 'outlier-detection', 'python', 'visual-search', 'data-augmentation', 'image-classification', 'kaggle', 'similarity', 'image', 'image-classfication', 'image-processing', 'visualization-tools']","FastDup is a tool for gaining insights from a large image collection. It can find anomalies, duplicate and near duplicate images, clusters of similaritity, learn the normal behavior and temporal interactions between images. It can be used for smart subsampling of a higher quality dataset, outlier removal, novelty detection of new information to be sent for tagging. FastDup scales to millions of images running on CPU only."
megvii-research/nafnet,megvii-research/NAFNet,"['deblur', 'denoise', 'stereo-super-resolution', 'eccv2022', 'image-deblurring', 'image-denoising', 'image-restoration', 'low-level-vision', 'pytorch']",The state-of-the-art image restoration model without nonlinear activation functions.
