Post Link,Title,Body
69544570,Input/output format for Fine Tuning Huggingface RobertaForQuestionAnswering,"<p>I'm trying to fine-tune &quot;RobertaForQuestionAnswering&quot; on my custom dataset and I'm confused about the input params it takes. Here's the sample code.</p>
<pre><code>&gt;&gt;&gt; from transformers import RobertaTokenizer, RobertaForQuestionAnswering
&gt;&gt;&gt; import torch

&gt;&gt;&gt; tokenizer = RobertaTokenizer.from_pretrained('roberta-base')
&gt;&gt;&gt; model = RobertaForQuestionAnswering.from_pretrained('roberta-base')

&gt;&gt;&gt; question, text = &quot;Who was Jim Henson?&quot;, &quot;Jim Henson was a nice puppet&quot;
&gt;&gt;&gt; inputs = tokenizer(question, text, return_tensors='pt')
&gt;&gt;&gt; start_positions = torch.tensor([1])
&gt;&gt;&gt; end_positions = torch.tensor([3])

&gt;&gt;&gt; outputs = model(**inputs, start_positions=start_positions, end_positions=end_positions)
&gt;&gt;&gt; loss = outputs.loss
&gt;&gt;&gt; start_scores = outputs.start_logits
&gt;&gt;&gt; end_scores = outputs.end_logits
</code></pre>
<p>I'm not able to understand variables <strong>start_positions</strong> &amp; <strong>end_positions</strong> which are being given in the model as input and variables <strong>start_scores</strong> &amp; <strong>end_scores</strong> that are being generated.</p>
"
69626196,Train Hugging face AutoModel defined using AutoConfig,"<p>I have defined the configration for a model in <code>transformers</code>. Later, I have used this configration to initialise the classifier as follows</p>
<pre><code>from transformers import AutoConfig, AutoModel

config = AutoConfig.from_pretrained('bert-base-uncased')
classifier = AutoModel.from_config(config)
</code></pre>
<p>I have check the list of functions available for this class which are</p>
<pre><code>&gt;&gt;&gt; dir(classifier)

&gt;&gt;&gt;
['add_memory_hooks',
 'add_module',
 'adjust_logits_during_generation',
 'apply',
 'base_model',
 'base_model_prefix',
 'beam_sample',
 'beam_search',
 'bfloat16',
 'buffers',
 'children',
 'config',
 'config_class',
 'cpu',
 'cuda',
 'device',
 'double',
 'dtype',
 'dummy_inputs',
 'dump_patches',
 'embeddings',
 'encoder',
 'estimate_tokens',
 'eval',
 'extra_repr',
 'float',
 'floating_point_ops',
 'forward',
 'from_pretrained',
 'generate',
 'get_buffer',
 'get_extended_attention_mask',
 'get_head_mask',
 'get_input_embeddings',
 'get_output_embeddings',
 'get_parameter',
 'get_position_embeddings',
 'get_submodule',
 'gradient_checkpointing_disable',
 'gradient_checkpointing_enable',
 'greedy_search',
 'group_beam_search',
 'half',
 'init_weights',
 'invert_attention_mask',
 'is_parallelizable',
 'load_state_dict',
 'load_tf_weights',
 'modules',
 'name_or_path',
 'named_buffers',
 'named_children',
 'named_modules',
 'named_parameters',
 'num_parameters',
 'parameters',
 'pooler',
 'prepare_inputs_for_generation',
 'prune_heads',
 'push_to_hub',
 'register_backward_hook',
 'register_buffer',
 'register_forward_hook',
 'register_forward_pre_hook',
 'register_full_backward_hook',
 'register_parameter',
 'requires_grad_',
 'reset_memory_hooks_state',
 'resize_position_embeddings',
 'resize_token_embeddings',
 'retrieve_modules_from_names',
 'sample',
 'save_pretrained',
 'set_input_embeddings',
 'share_memory',
 'state_dict',
 'supports_gradient_checkpointing',
 'tie_weights',
 'to',
 'to_empty',
 'train',
 'training',
 'type',
 'xpu',
 'zero_grad']
</code></pre>
<p>Out of this only <code>train</code> method seemed relevant. However, upon checking the doc string for the function, I got</p>
<pre><code>&gt;&gt;&gt; print(classifier.train.__doc__)
&gt;&gt;&gt; Sets the module in training mode.

        This has any effect only on certain modules. See documentations of
        particular modules for details of their behaviors in training/evaluation
        mode, if they are affected, e.g. :class:`Dropout`, :class:`BatchNorm`,
        etc.

        Args:
            mode (bool): whether to set training mode (``True``) or evaluation
                         mode (``False``). Default: ``True``.

        Returns:
            Module: self
</code></pre>
<p>How do I train this classifier on custom dataset (preferably in the <code>transformers</code> or in <code>tensorflow</code>)?</p>
"
69677322,pretrained roberta relation extraction attribute error,"<p>I am trying to get the following pretrained huggingface model to work: <a href=""https://huggingface.co/mmoradi/Robust-Biomed-RoBERTa-RelationClassification"" rel=""nofollow noreferrer"">https://huggingface.co/mmoradi/Robust-Biomed-RoBERTa-RelationClassification</a></p>
<p>I use the following code:</p>
<pre><code>from transformers import AutoTokenizer, AutoModel
  
tokenizer = AutoTokenizer.from_pretrained(&quot;mmoradi/Robust-Biomed-RoBERTa-RelationClassification&quot;)

model = AutoModel.from_pretrained(&quot;mmoradi/Robust-Biomed-RoBERTa-RelationClassification&quot;)

inputs = tokenizer(&quot;&quot;&quot;The colorectal cancer was caused by mutations in angina&quot;&quot;&quot;)
outputs = model(**inputs)
</code></pre>
<p>For some reason, I get the following error when trying to produce outputs, so in the last line of my code:</p>
<blockquote>
<p>--&gt; 796             input_shape = input_ids.size()
797         elif inputs_embeds is not None:
798             input_shape = inputs_embeds.size()[:-1]</p>
<p>AttributeError: 'list' object has no attribute 'size'</p>
</blockquote>
<p>The inputs look like this:</p>
<pre><code>{'input_ids': [0, 133, 11311, 1688, 3894, 337, 1668, 21, 1726, 30, 28513, 11, 1480, 347, 2], 'attention_mask': [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]}
</code></pre>
<p>I have no idea how to go about debugging this, so any help or hints are welcomed!</p>
"
69709015,EncoderDecoderModel converts classifier layer of decoder,"<p>I am trying to do named entity recognition using a Sequence-to-Sequence-model. My output is simple IOB-tags, and thus I only want to predict probabilities for 3 labels for each token (IOB).</p>
<p>I am trying a EncoderDecoderModel using the HuggingFace-implementation with a DistilBert as my encoder, and a BertForTokenClassification as my decoder.</p>
<p>First, I import my encoder and decoder:</p>
<pre><code>encoder = AutoModelForSequenceClassification.from_pretrained(&quot;distilbert-base-uncased&quot;)
encoder.save_pretrained(&quot;Encoder&quot;)

decoder = BertForTokenClassification.from_pretrained('bert-base-uncased',
                                                     num_labels=3,
                                                     output_hidden_states=False,
                                                     output_attentions=False)
decoder.save_pretrained(&quot;Decoder&quot;)
decoder
</code></pre>
<p>When I check my decoder model as shown, I can clearly see the linear classification layer that has out_features=3:</p>
<pre><code>## sample of output:
  )
  (dropout): Dropout(p=0.1, inplace=False)
  (classifier): Linear(in_features=768, out_features=3, bias=True)
)
</code></pre>
<p>However, when I combine the two models in my EncoderDecoderModel, it seems that the decoder is converted into a different kind of classifier - now with out_features as the size of my vocabulary:</p>
<pre><code>bert2bert = EncoderDecoderModel.from_encoder_decoder_pretrained(&quot;./Encoder&quot;,&quot;./Decoder&quot;)
bert2bert

## sample of output:
(cls): BertOnlyMLMHead(
      (predictions): BertLMPredictionHead(
        (transform): BertPredictionHeadTransform(
          (dense): Linear(in_features=768, out_features=768, bias=True)
          (LayerNorm): LayerNorm((768,), eps=1e-12, elementwise_affine=True)
        )
        (decoder): Linear(in_features=768, out_features=30522, bias=True)
      )
    )
</code></pre>
<p>Why is that? And how can I keep out_features = 3 in my model?</p>
"
69720454,Questions when training language models from scratch with Huggingface,"<p>I'm following the guide here (<a href=""https://github.com/huggingface/blog/blob/master/how-to-train.md"" rel=""nofollow noreferrer"">https://github.com/huggingface/blog/blob/master/how-to-train.md</a>, <a href=""https://huggingface.co/blog/how-to-train"" rel=""nofollow noreferrer"">https://huggingface.co/blog/how-to-train</a>) to train a RoBERTa-like model from scratch. (With my own tokenizer and dataset)</p>
<p>However, when I run <strong>run_mlm.py</strong> (<a href=""https://github.com/huggingface/transformers/blob/master/examples/pytorch/language-modeling/run_mlm.py"" rel=""nofollow noreferrer"">https://github.com/huggingface/transformers/blob/master/examples/pytorch/language-modeling/run_mlm.py</a>) to train my model with masking task, the following messages appear:</p>
<pre><code>All model checkpoint weights were used when initializing RobertaForMaskedLM.

All the weights of RobertaForMaskedLM were initialized from the model checkpoint at roberta-base.

If your task is similar to the task the model of the checkpoint was trained on, you can already use RobertaForMaskedLM for predictions without further training.
</code></pre>
<p>I'm wondering does it mean that I'm training from scratch with <strong>&quot;the pretrained weight&quot;</strong> of RoBERTa? And if it's training from the pretrained weights, is there a way to use randomly initiated weights rather than the pretrained ones?</p>
<p>==== 2021/10/26 Updated ===</p>
<p>I  am training the model with Masked Language Modeling task by following commands:</p>
<pre><code>python transformer_run_mlm.py \
--model_name_or_path roberta-base  \
--config_name ./my_dir/ \
--tokenizer_name ./my_dir/ \
--no_use_fast_tokenizer \
--train_file ./my_own_training_file.txt \
--validation_split_percentage 10 \
--line_by_line \
--output_dir /my_output_dir/ \
--do_train \
--do_eval \
--per_device_train_batch_size 64 \
--per_device_eval_batch_size 16 \
--learning_rate 1e-4 \
--max_seq_length 1024 \
--seed 42 \
--num_train_epochs 100 
</code></pre>
<p>The  <strong>./my_dir/</strong> consists of three files:</p>
<p><strong>config.json</strong> produced by the following codes:</p>
<pre class=""lang-py prettyprint-override""><code>from transformers import RobertaModel

model = RobertaModel.from_pretrained('roberta-base')
model.config.save_pretrained(MODEL_CONFIG_PATH)
</code></pre>
<p>And here's the content:</p>
<pre><code>{
  &quot;_name_or_path&quot;: &quot;roberta-base&quot;,
  &quot;architectures&quot;: [
    &quot;RobertaForMaskedLM&quot;
  ],
  &quot;attention_probs_dropout_prob&quot;: 0.1,
  &quot;bos_token_id&quot;: 0,
  &quot;classifier_dropout&quot;: null,
  &quot;eos_token_id&quot;: 2,
  &quot;hidden_act&quot;: &quot;gelu&quot;,
  &quot;hidden_dropout_prob&quot;: 0.1,
  &quot;hidden_size&quot;: 768,
  &quot;initializer_range&quot;: 0.02,
  &quot;intermediate_size&quot;: 3072,
  &quot;layer_norm_eps&quot;: 1e-05,
  &quot;max_position_embeddings&quot;: 514,
  &quot;model_type&quot;: &quot;roberta&quot;,
  &quot;num_attention_heads&quot;: 12,
  &quot;num_hidden_layers&quot;: 12,
  &quot;pad_token_id&quot;: 1,
  &quot;position_embedding_type&quot;: &quot;absolute&quot;,
  &quot;transformers_version&quot;: &quot;4.12.0.dev0&quot;,
  &quot;type_vocab_size&quot;: 1,
  &quot;use_cache&quot;: true,
  &quot;vocab_size&quot;: 50265
}

</code></pre>
<p><strong>vocab.json, merges.tx</strong>t produced by the following codes:</p>
<pre class=""lang-py prettyprint-override""><code>from tokenizers.implementations import ByteLevelBPETokenizer

tokenizer = ByteLevelBPETokenizer()

tokenizer.train(files=OUTPUT_DIR + &quot;seed.txt&quot;, vocab_size=52_000, min_frequency=2, special_tokens=[
    &quot;&lt;s&gt;&quot;,
    &quot;&lt;pad&gt;&quot;,
    &quot;&lt;/s&gt;&quot;,
    &quot;&lt;unk&gt;&quot;,
    &quot;&lt;mask&gt;&quot;,
])

# Save files to disk
tokenizer.save_model(MODEL_CONFIG_PATH)
</code></pre>
<p>And here's the content of <strong>vocab.json</strong> (A proportion of)</p>
<pre><code>{&quot;&lt;s&gt;&quot;:0,&quot;&lt;pad&gt;&quot;:1,&quot;&lt;/s&gt;&quot;:2,&quot;&lt;unk&gt;&quot;:3,&quot;&lt;mask&gt;&quot;:4,&quot;!&quot;:5,&quot;\&quot;&quot;:6,&quot;#&quot;:7,&quot;$&quot;:8,&quot;%&quot;:9,&quot;&amp;&quot;:10,&quot;'&quot;:11,&quot;(&quot;:12,&quot;)&quot;:13,&quot;*&quot;:14,&quot;+&quot;:15,&quot;,&quot;:16,&quot;-&quot;:17,&quot;.&quot;:18,&quot;/&quot;:19,&quot;0&quot;:20,&quot;1&quot;:21,&quot;2&quot;:22,&quot;3&quot;:23,&quot;4&quot;:24,&quot;5&quot;:25,&quot;6&quot;:26,&quot;7&quot;:27,&quot;8&quot;:28,&quot;9&quot;:29,&quot;:&quot;:30,&quot;;&quot;:31,&quot;&lt;&quot;:32,&quot;=&quot;:33,&quot;&gt;&quot;:34,&quot;?&quot;:35,&quot;@&quot;:36,&quot;A&quot;:37,&quot;B&quot;:38,&quot;C&quot;:39,&quot;D&quot;:40,&quot;E&quot;:41,&quot;F&quot;:42,&quot;G&quot;:43,&quot;H&quot;:44,&quot;I&quot;:45,&quot;J&quot;:46,&quot;K&quot;:47,&quot;L&quot;:48,&quot;M&quot;:49,&quot;N&quot;:50,&quot;O&quot;:51,&quot;P&quot;:52,&quot;Q&quot;:53,&quot;R&quot;:54,&quot;S&quot;:55,&quot;T&quot;:56,&quot;U&quot;:57,&quot;V&quot;:58,&quot;W&quot;:59,&quot;X&quot;:60,&quot;Y&quot;:61,&quot;Z&quot;:62,&quot;[&quot;:63,&quot;\\&quot;:64,&quot;]&quot;:65,&quot;^&quot;:66,&quot;_&quot;:67,&quot;`&quot;:68,&quot;a&quot;:69,&quot;b&quot;:70,&quot;c&quot;:71,&quot;d&quot;:72,&quot;e&quot;:73,&quot;f&quot;:74,&quot;g&quot;:75,&quot;h&quot;:76,&quot;i&quot;:77,&quot;j&quot;:78,&quot;k&quot;:79,&quot;l&quot;:80,&quot;m&quot;:81,&quot;n&quot;:82,&quot;o&quot;:83,&quot;p&quot;:84,&quot;q&quot;:85,&quot;r&quot;:86,&quot;s&quot;:87,&quot;t&quot;:88,&quot;u&quot;:89,&quot;v&quot;:90,&quot;w&quot;:91,&quot;x&quot;:92,&quot;y&quot;:93,&quot;z&quot;:94,&quot;{&quot;:95,&quot;|&quot;:96,&quot;}&quot;:97,&quot;~&quot;:98,&quot;Â¡&quot;:99,&quot;Â¢&quot;:100,&quot;Â£&quot;:101,&quot;Â¤&quot;:102,&quot;Â¥&quot;:103,&quot;Â¦&quot;:104,&quot;Â§&quot;:105,&quot;Â¨&quot;:106,&quot;Â©&quot;:107,&quot;Âª&quot;:108,&quot;Â«&quot;:109,&quot;Â¬&quot;:110,&quot;Â®&quot;:111,&quot;Â¯&quot;:112,&quot;Â°&quot;:113,&quot;Â±&quot;:114,&quot;Â²&quot;:115,&quot;Â³&quot;:116,&quot;Â´&quot;:117,&quot;Âµ&quot;:118,&quot;Â¶&quot;:119,&quot;Â·&quot;:120,&quot;Â¸&quot;:121,&quot;Â¹&quot;:122,&quot;Âº&quot;:123,&quot;Â»&quot;:124,&quot;Â¼&quot;:125,&quot;Â½&quot;:126,&quot;Â¾&quot;:12
</code></pre>
<p>And here's the content of <strong>merges.txt</strong> (A proportion of)</p>
<pre><code>#version: 0.2 - Trained by `huggingface/tokenizers`
e n
T o
k en
Ä  To
Ä To ken
E R
V ER
VER B
a t
P R
PR O
P N
PRO PN
Ä  n
U N
N O
NO UN
E n
i t
t it
En tit
Entit y
b j
c o
Ä  a

</code></pre>
"
69757539,"Deploying huggingface zero-shot classification in Sagemaker using template returns error, missing positional argument 'candidate_labels'","<p>I'm using the generated code from huggingface, Task: <code>Zero-Shot Classification</code>, Configuration: <code>AWS</code> and running it in Sagemaker's jupyterlab</p>
<pre class=""lang-py prettyprint-override""><code>from sagemaker.huggingface import HuggingFaceModel
import sagemaker

role = sagemaker.get_execution_role()
# Hub Model configuration. https://huggingface.co/models
hub = {
    'HF_MODEL_ID':'facebook/bart-large-mnli',
    'HF_TASK':'zero-shot-classification'
}

# create Hugging Face Model Class
huggingface_model = HuggingFaceModel(
    transformers_version='4.6.1',
    pytorch_version='1.7.1',
    py_version='py36',
    env=hub,
    role=role, 
)

# deploy model to SageMaker Inference
predictor = huggingface_model.deploy(
    initial_instance_count=1, # number of instances
    instance_type='ml.m5.xlarge' # ec2 instance type
)

predictor.predict({
    'inputs': &quot;Hi, I recently bought a device from your company but it is not working as advertised and I would like to get reimbursed!&quot;
})
</code></pre>
<p>The following error returned:</p>
<blockquote>
<p>ModelError: An error occurred (ModelError) when calling the
InvokeEndpoint operation: Received client error (400) from primary
with message &quot;{   &quot;code&quot;: 400,   &quot;type&quot;: &quot;InternalServerException&quot;,<br />
&quot;message&quot;: &quot;<strong>call</strong>() missing 1 required positional argument:
\u0027candidate_labels\u0027&quot; } &quot;. See ...
in account **** for more information.</p>
</blockquote>
<p>I tried running them differently such as this,</p>
<pre><code>predictor.predict({
    'inputs': &quot;Hi, I recently bought a device from your company but it is not working as advertised and I would like to get reimbursed!&quot;,
    'candidate_labels': ['science', 'life']
})
</code></pre>
<p>but still don't work. How should I run it?</p>
"
69780823,Tokenizers change vocabulary entry,"<p>I have some text which I want to perform NLP on. To do so, I download a pre-trained tokenizer like so:</p>
<pre class=""lang-py prettyprint-override""><code>import transformers as ts

pr_tokenizer = ts.AutoTokenizer.from_pretrained('distilbert-base-uncased', cache_dir='tmp')
</code></pre>
<p>Then I create my own tokenizer with my data like this:</p>
<pre class=""lang-py prettyprint-override""><code>from tokenizers import Tokenizer
from tokenizers.models import BPE
tokenizer = Tokenizer(BPE(unk_token=&quot;[UNK]&quot;))

from tokenizers.trainers import BpeTrainer
trainer = BpeTrainer(special_tokens=[&quot;[UNK]&quot;, &quot;[CLS]&quot;, &quot;[SEP]&quot;, &quot;[PAD]&quot;, &quot;[MASK]&quot;])

from tokenizers.pre_tokenizers import Whitespace
tokenizer.pre_tokenizer = Whitespace()

tokenizer.train(['transcripts.raw'], trainer)
</code></pre>
<p>Now comes the part where I get confused... I need to update the entries in the pretraned tokenizer (<code>pr_tokenizer</code>) where they are the keys are the same as in my tokenizer (<code>tokenizer</code>). I have tried several methods, so here is one of them:</p>
<pre class=""lang-py prettyprint-override""><code>new_vocab = pr_tokenizer.vocab
v = tokenizer.get_vocab()

for i in v:
    if i in new_vocab:
        new_vocab[i] = v[i]
</code></pre>
<p>So what do I do now? I was thinking something like:</p>
<pre><code>pr_tokenizer.vocab.update(new_vocab)
</code></pre>
<p>or</p>
<pre><code>pr_tokenizer.vocab = new_vocab
</code></pre>
<p>Neither work. Does anyone know a good way of doing this?</p>
"
69781810,Adding Special Tokens Changes all Embeddings - TF Bert Hugging Face,"<p>Given the following,</p>
<pre><code>from transformers import TFAutoModel
from transformers import BertTokenizer


bert = TFAutoModel.from_pretrained('bert-base-cased')
tokenizer = BertTokenizer.from_pretrained('bert-base-cased')
</code></pre>
<p>I expected that if special tokens are added to the tokens, the remaining tokens would remain the same and yet they do not. For example I expected that the following should be equal but all the tokens change. Why is this?</p>
<pre><code>tokens = tokenizer(['this product is no good'], add_special_tokens=True,return_tensors='tf')
output = bert(tokens)

output[0][0][1]
</code></pre>
<p><a href=""https://i.stack.imgur.com/Ud3OR.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/Ud3OR.png"" alt=""enter image description here"" /></a></p>
<pre><code>tokens = tokenizer(['this product is no good'], add_special_tokens=False,return_tensors='tf')
output = bert(tokens)

output[0][0][0]
</code></pre>
<p><a href=""https://i.stack.imgur.com/sC4ap.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/sC4ap.png"" alt=""enter image description here"" /></a></p>
"
69820318,"Predicting Sentiment of Raw Text using Trained BERT Model, Hugging Face","<p>I'm predicting sentiment analysis of Tweets with positive, negative, and neutral classes. I've trained a BERT model using Hugging Face. Now I'd like to make predictions on a dataframe of unlabeled Twitter text and I'm having difficulty.</p>
<p>I've followed the following tutorial (<a href=""https://curiousily.com/posts/sentiment-analysis-with-bert-and-hugging-face-using-pytorch-and-python/"" rel=""nofollow noreferrer"">https://curiousily.com/posts/sentiment-analysis-with-bert-and-hugging-face-using-pytorch-and-python/</a>) and was able to train a BERT model using Hugging Face.</p>
<p>Here's an example of predicting on raw text however it's only one sentence and I would like to use a column of Tweets. <a href=""https://curiousily.com/posts/sentiment-analysis-with-bert-and-hugging-face-using-pytorch-and-python/#predicting-on-raw-text"" rel=""nofollow noreferrer"">https://curiousily.com/posts/sentiment-analysis-with-bert-and-hugging-face-using-pytorch-and-python/#predicting-on-raw-text</a></p>
<pre><code>review_text = &quot;I love completing my todos! Best app ever!!!&quot;

encoded_review = tokenizer.encode_plus(
  review_text,
  max_length=MAX_LEN,
  add_special_tokens=True,
  return_token_type_ids=False,
  pad_to_max_length=True,
  return_attention_mask=True,
  return_tensors='pt',
)

input_ids = encoded_review['input_ids'].to(device)
attention_mask = encoded_review['attention_mask'].to(device)
output = model(input_ids, attention_mask)
_, prediction = torch.max(output, dim=1)
print(f'Review text: {review_text}')
print(f'Sentiment  : {class_names[prediction]}')

Review text: I love completing my todos! Best app ever!!!
Sentiment  : positive

</code></pre>
<p>Bill's response works. Here's the solution.</p>
<pre><code>def predictionPipeline(text):
  encoded_review = tokenizer.encode_plus(
      text,
      max_length=MAX_LEN,
      add_special_tokens=True,
      return_token_type_ids=False,
      pad_to_max_length=True,
      return_attention_mask=True,
      return_tensors='pt',
    )

  input_ids = encoded_review['input_ids'].to(device)
  attention_mask = encoded_review['attention_mask'].to(device)

  output = model(input_ids, attention_mask)
  _, prediction = torch.max(output, dim=1)

  return(class_names[prediction])

df2['prediction']=df2['cleaned_tweet'].apply(predictionPipeline)
</code></pre>
"
69825418,NonMatchingSplitsSizesError loading huggingface BookCorpus,"<p>I want to load <code>bookcorpus</code> like this:</p>
<pre><code>train_ds, test_ds = load_dataset('bookcorpus', split=['train', 'test']),
</code></pre>
<p>however, get the following error:</p>
<pre><code>Traceback (most recent call last):             
  File &quot;&lt;stdin&gt;&quot;, line 1, in &lt;module&gt;
  File &quot;/home/marcelbraasch/.local/lib/python3.8/site-packages/datasets/load.py&quot;, line 1627, in load_dataset
    builder_instance.download_and_prepare(
  File &quot;/home/marcelbraasch/.local/lib/python3.8/site-packages/datasets/builder.py&quot;, line 607, in download_and_prepare
    self._download_and_prepare(
  File &quot;/home/marcelbraasch/.local/lib/python3.8/site-packages/datasets/builder.py&quot;, line 709, in _download_and_prepare
    verify_splits(self.info.splits, split_dict)
  File &quot;/home/marcelbraasch/.local/lib/python3.8/site-packages/datasets/utils/info_utils.py&quot;, line 74, in verify_splits
    raise NonMatchingSplitsSizesError(str(bad_splits))
datasets.utils.info_utils.NonMatchingSplitsSizesError: [{'expected': SplitInfo(name='train', num_bytes=4853859824, num_examples=74004228, dataset_name='bookcorpus'), 'recorded': SplitInfo(name='train', num_bytes=2982081448, num_examples=45726619, dataset_name='bookcorpus')}]
</code></pre>
<p>I want to proceed to save this to disk as I don't want to download this every time I use it. What causes this error?</p>
"
69835532,Dropping layers in Transformer models (PyTorch / HuggingFace),"<p>I came across this interesting <a href=""https://arxiv.org/pdf/2004.03844.pdf"" rel=""nofollow noreferrer"">paper</a> on layers dropping in Transformer models and I am actually trying to implement it. However, I am wondering what would be a good practice to perform &quot;layer dropping&quot;.</p>
<p>I have have a couple of ideas but have no idea what would be the cleanest/safest way to go here:</p>
<ul>
<li>masking the unwanted layers (some sort of pruning)</li>
<li>copying the wanted layers into a new model</li>
</ul>
<p>If anyone has already done this before or has suggestion I'm all ears!</p>
<p>Cheers</p>
"
69842980,Asking to truncate to max_length but no maximum length is provided and the model has no predefined maximum length. Default to no truncation,"<p>I'm learning NLP following this sequence classification tutorial from HuggingFace <a href=""https://huggingface.co/transformers/custom_datasets.html#sequence-classification-with-imdb-reviews"" rel=""nofollow noreferrer"">https://huggingface.co/transformers/custom_datasets.html#sequence-classification-with-imdb-reviews</a>
The original code runs without problem. But when I tried to load a different tokenizer , such as the one from <code>google/bert_uncased_L-4_H-256_A-4</code>, the following warning appears:</p>
<p><code>Asking to truncate to max_length but no maximum length is provided and the model has no predefined maximum length. Default to no truncation. </code></p>
<pre><code>from transformers import AutoTokenizer
from pathlib import Path

def read_imdb_split(split_dir):
    split_dir = Path(split_dir)
    texts = []
    labels = []
    for label_dir in [&quot;pos&quot;, &quot;neg&quot;]:
        for text_file in (split_dir/label_dir).iterdir():
            texts.append(text_file.read_text())
            labels.append(0 if label_dir is &quot;neg&quot; else 1)

    return texts[:50], labels[:50]

if __name__ == '__main__':
    test_texts, test_labels = read_imdb_split('aclImdb/test')
    tokenizer = AutoTokenizer.from_pretrained('google/bert_uncased_L-4_H-256_A-4')
    test_encodings = tokenizer(test_texts, truncation=True, padding=True)
    for input_id in test_encodings[&quot;input_ids&quot;]:
        print(len(input_id))
</code></pre>
<p>The output shows all <code>input_id</code> has len = 1288. It seems they have all been padded to 1288. But how could I specify the truncation target length such as 512?</p>
"
69866866,What is the best way to compute metrics for the transformers results?,"<p>Here is simple example of hugging face transformers for NER:</p>
<pre><code>from transformers import AutoTokenizer, AutoModelForTokenClassification
from transformers import pipeline

tokenizer = AutoTokenizer.from_pretrained(&quot;dslim/bert-large-NER&quot;)
model = AutoModelForTokenClassification.from_pretrained(&quot;dslim/bert-large-NER&quot;)

nlp = pipeline(&quot;ner&quot;, model=model, tokenizer=tokenizer)
example = &quot;My name is jonathan davis and I live in Chicago, Illinois&quot;

ner_results = nlp(example)
print(ner_results)

    output: [{'entity': 'B-PER', 'score': 0.95571744, 'index': 4, 'word': 'j', 'start': 11, 'end':
 12}, {'entity': 'B-PER', 'score': 0.6131773, 'index': 5, 'word': '##ona', 'start': 12, 'end': 
15}, {'entity': 'I-PER', 'score': 0.6707376, 'index': 6, 'word': '##than', 'start': 15, 'end':
 19}, {'entity': 'I-PER', 'score': 0.97754997, 'index': 7, 'word': 'da', 'start': 20, 'end': 22},
 {'entity': 'I-PER', 'score': 0.4608973, 'index': 8, 'word': '##vis', 'start': 22, 'end': 25}, 
{'entity': 'B-LOC', 'score': 0.9990302, 'index': 13, 'word': 'Chicago', 'start': 40, 'end': 47}]
</code></pre>
<p>For example I have information about my sentence:</p>
<pre><code>jonathan davis - PER
Chicago - LOC
Illinois - LOC (The model did not recognize this entity)
</code></pre>
<p>How do I correctly calculate the <strong>Precision</strong> and <strong>Recall</strong>, given that my data is split as follows:</p>
<pre><code>j, ##ona, ##than
</code></pre>
<p>Before that, I used regular expressions and used a metric, the point of which is described in this <a href=""https://www.davidsbatista.net/blog/2018/05/09/Named_Entity_Evaluation/"" rel=""nofollow noreferrer"">article</a>. But I do not know if it is suitable for this task.</p>
<p>Please help me find the correct way to calculate the metric. Perhaps there are some built-in features in hugging-face I'm missing out on?</p>
"
